# restamp-normalizedname-drift.mjs — mode=APPLY
# project=crcmusiccharts
# started=2026-05-25T23:07:20.184Z

Phase 1: enumerated 625 library_index rows
Phase 1: built stem index — 413 unique stems, 0 orphaned rows excluded, 0 nameless rows excluded

RESTAMP   1-7s6O5YGk5noWiVhtktHwpr7SHOq8_09 name="B'sefer chayim & Hashiveinu.pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"bseferchayimhashiveinupdf","now":"bseferchayimhashiveinu"}]
RESTAMP   1-GuL3x3yXCj4CpUieKyqriSYLIewYBW8 name="Mi Shebeirach.pdf" ext=.pdf siblings=9 diff=[{"field":"normalizedName","was":"mishebeirachpdf","now":"mishebeirach"}]
RESTAMP   1-NNEkYLm4R7PJ7ttd1HVVQ55FYqps5fT name="Shema (major).pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"shemamajorpdf","now":"shemamajor"}]
RESTAMP   1-aabMnNguIMwqICh3Yd5OOESSsX1YD1H name="May it be a Good Year - Full Score.pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"mayitbeagoodyearfullscorepdf","now":"mayitbeagoodyearfullscore"}]
RESTAMP   1-nZdkk3WmzecIti5rgOKG5Km7kditRSP name="Hashiveinu.pdf" ext=.pdf siblings=5 diff=[{"field":"normalizedName","was":"hashiveinupdf","now":"hashiveinu"}]
RESTAMP   1-utmHPjawkoiudZ9pjm5fLMCBoSDLgUU name="Lecha dodi (Yerushalmi).pdf" ext=.pdf siblings=4 diff=[{"field":"normalizedName","was":"lechadodiyerushalmipdf","now":"lechadodiyerushalmi"}]
RESTAMP   109L_MNigAZlIcxOJDVGu-mR1cPEWVDvH name="Eitz chayim.pdf" ext=.pdf siblings=6 diff=[{"field":"normalizedName","was":"eitzchayimpdf","now":"eitzchayim"}]
RESTAMP   10_OkoTpn-27dVH3IEwtJXeC3L4rJsSs0 name="zochrenu Lehayim - Full Score.pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"zochrenulehayimfullscorepdf","now":"zochrenulehayimfullscore"}]
RESTAMP   10f54MTtUltfX4lm7YcxoV9MeXxtDXUWZ name="Yah ribon alam.pdf" ext=.pdf siblings=1 diff=[{"field":"normalizedName","was":"yahribonalampdf","now":"yahribonalam"}]
RESTAMP   10i20SEfzKTvGJ5tqWfPScip78eXszCHH name="Michamocha (Shir Shabbat).mp3" ext=.mp3 siblings=2 diff=[{"field":"normalizedName","was":"michamochashirshabbatmp3","now":"michamochashirshabbat"}]
RESTAMP   10z53rDn8ZRw_m5esW54nbxBEjPTNIjp5 name="Ve_Imru Amen-Bass.mp3" ext=.mp3 siblings=1 diff=[{"field":"normalizedName","was":"veimruamenbassmp3","now":"veimruamenbass"}]
RESTAMP   113D2wnFt1K9Vqgmp5pFn8wK6lnLEFwRL name="Dis Trust - Full Score.pdf" ext=.pdf siblings=3 diff=[{"field":"normalizedName","was":"distrustfullscorepdf","now":"distrustfullscore"}]
RESTAMP   11985wRgE09raY4usgF5Y6lIErTyoKKch name="gminor_spirits.pdf" ext=.pdf siblings=1 diff=[{"field":"normalizedName","was":"gminorspiritspdf","now":"gminorspirits"}]
RESTAMP   11bYBh-IiVb4eUxFythxUBdhfmbfZCiHY name="Barechu_trad_Bass.mp3" ext=.mp3 siblings=1 diff=[{"field":"normalizedName","was":"barechutradbassmp3","now":"barechutradbass"}]
RESTAMP   11hnNdTgFcqqmK1ExZYEeM3HqqHLfC28y name="Yedid Nefesh.pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"yedidnefeshpdf","now":"yedidnefesh"}]
RESTAMP   11vAgPi9J45X2b_MLc9SuqnNbKr_U2ePZ name="Adio kerida.pdf" ext=.pdf siblings=1 diff=[{"field":"normalizedName","was":"adiokeridapdf","now":"adiokerida"}]
RESTAMP   11w4r08HnXYR-eRFzcMIs-ud4k1Ut1jwB name="Fiddley Tune.pdf" ext=.pdf siblings=1 diff=[{"field":"normalizedName","was":"fiddleytunepdf","now":"fiddleytune"}]
RESTAMP   12JfLCHytM5q59btBQ05sz-V_SurQmUoT name="Adon Olam.mp3" ext=.mp3 siblings=4 diff=[{"field":"normalizedName","was":"adonolammp3","now":"adonolam"}]
RESTAMP   12jOqCRu1d3CMEqEXhIlvtH6fISPb8_kU name="Barchu (Am I Awake ) - Full Score.pdf" ext=.pdf siblings=8 diff=[{"field":"normalizedName","was":"barchuamiawakefullscorepdf","now":"barchuamiawakefullscore"}]
RESTAMP   139wiZLQyzIVrwfjapGdfhzHHeZR7eiNk name="Niggun_Tenor_Bass.mp3" ext=.mp3 siblings=1 diff=[{"field":"normalizedName","was":"nigguntenorbassmp3","now":"nigguntenorbass"}]
RESTAMP   13aYPTWGNeCpbOFk4CjccIWKvADcRvCNg name="Od Yavo Shalom Aleinu.pdf" ext=.pdf siblings=1 diff=[{"field":"normalizedName","was":"odyavoshalomaleinupdf","now":"odyavoshalomaleinu"}]
RESTAMP   13xN_EFxJ0igz9oYROL_DGx-hj6cvbGOy name="Elohai neshama - Pourmorady.pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"elohaineshamapourmoradypdf","now":"elohaineshamapourmorady"}]
RESTAMP   14SMDmqaXkzSH_pAKYQ86cekbY7Doelfm name="Aleinu- trad - Full Score.pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"aleinutradfullscorepdf","now":"aleinutradfullscore"}]
RESTAMP   15AghrjXqcoP12z70OGcZ7pY0EU8t7OBm name="Candle lighting (Ladino).pdf" ext=.pdf siblings=1 diff=[{"field":"normalizedName","was":"candlelightingladinopdf","now":"candlelightingladino"}]
RESTAMP   15JPaQTkyZckMCXWNuc0qQ6DWSiK1NBGJ name="Ahava raba (echo).pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"ahavarabaechopdf","now":"ahavarabaecho"}]
RESTAMP   15VGnxYtiSEEV_LfXc-oddi_fXCRaD7wK name="May the Memory - Full Score.pdf" ext=.pdf siblings=1 diff=[{"field":"normalizedName","was":"maythememoryfullscorepdf","now":"maythememoryfullscore"}]
RESTAMP   16hgfPydSNfbuAbTMWVRncQCJkwlxlMDB name="Avinu Malkeinu_trad_Choir_Em.pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"avinumalkeinutradchoirempdf","now":"avinumalkeinutradchoirem"}]
RESTAMP   17TDzffOQT4ohO2p7yQCudUTYbj1tRg28 name="Tu Bishvat.pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"tubishvatpdf","now":"tubishvat"}]
RESTAMP   17WKpAjPPT6E8D2VpRgiwNEy9V48BtwhR name="Kedusha (compact).pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"kedushacompactpdf","now":"kedushacompact"}]
RESTAMP   17YFbGz0YNvC1o-K1VKRrqgZGae-WMsbg name="Michamocha (Shir Shabbat) .mp3" ext=.mp3 siblings=2 diff=[{"field":"normalizedName","was":"michamochashirshabbatmp3","now":"michamochashirshabbat"}]
RESTAMP   18ip_oBzFOZmb6qwYHcHUerGvKlWLS9ZU name="Niggun 3 part choral score.pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"niggun3partchoralscorepdf","now":"niggun3partchoralscore"}]
RESTAMP   19E8aTettqSQO1ZVtVhXCPfUJw1dw0f3G name="Shiru L_Adonai Shir Shabbat.pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"shiruladonaishirshabbatpdf","now":"shiruladonaishirshabbat"}]
RESTAMP   19FuqP-rbkufIUdAVCGMbXLuvDJKnicZM name="Mi shebeirach.pdf" ext=.pdf siblings=9 diff=[{"field":"normalizedName","was":"mishebeirachpdf","now":"mishebeirach"}]
RESTAMP   19HZjTlXx_pXGMy3VV5k-o71vIB6amI9S name="R'tzei - Full Score.pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"rtzeifullscorepdf","now":"rtzeifullscore"}]
RESTAMP   19JE0aPISEwHYTC5RtieFX1EOVdYTP-yV name="Unetaneh_Tokef 4 parts.pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"unetanehtokef4partspdf","now":"unetanehtokef4parts"}]
RESTAMP   19W6W99B9smYQqqZEtU2fYUTLvrV4HjDG name="L'Cha Dodi Dmin .pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"lchadodidminpdf","now":"lchadodidmin"}]
RESTAMP   19XVik7nlDmoUr8CcBJbjDsecLuqInQ_Z name="Shema (major).pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"shemamajorpdf","now":"shemamajor"}]
RESTAMP   19aJQKD1H868a8tDZFphNLPh_rH4tFwLN name="Shiru Medley .wav" ext=.wav siblings=1 diff=[{"field":"normalizedName","was":"shirumedleywav","now":"shirumedley"}]
RESTAMP   19bFqLwp-TX_T3xlnV78DoMj3U80FsehP name="Erev Shel Shoshanim : Yamin U’smol.wav" ext=.wav siblings=1 diff=[{"field":"normalizedName","was":"erevshelshoshanimyaminusmolwav","now":"erevshelshoshanimyaminusmol"}]
